"","strain","salt","NaCl","batch","r_dip","r_tet","delta_r"
"1","13","0",0,"a",0.866504251226425,0.713229089698925,-0.1532751615275
"2","13","1",2.5,"a",0.792473599993661,0.665426751089241,-0.12704684890442
"3","9242","0",0,"a",0.990018416905675,0.844162692591375,-0.1458557243143
"4","9242","1",2.5,"a",0.994297124712511,0.776913868410916,-0.217383256301595
"5","9316","0",0,"a",0.872472122716722,0.768741298594862,-0.10373082412186
"6","9316","1",2.5,"a",0.864572046129358,0.828369484918528,-0.03620256121083
"7","9346","0",0,"a",0.915041363311582,0.836701450212445,-0.0783399130991375
"8","9346","1",2.5,"a",0.857669355828237,0.848600476839792,-0.00906887898844499
"9","13","0",0,"b",0.582893205975575,0.429618044448075,-0.1532751615275
"10","13","1",2.5,"b",0.508862554742811,0.381815705838391,-0.12704684890442
"11","9242","0",0,"b",0.706407371654825,0.560551647340525,-0.1458557243143
"12","9242","1",2.5,"b",0.710686079461661,0.493302823160066,-0.217383256301595
"13","9316","0",0,"b",0.588861077465872,0.485130253344012,-0.10373082412186
"14","9316","1",2.5,"b",0.580961000878509,0.544758439667678,-0.0362025612108301
"15","9346","0",0,"b",0.631430318060732,0.553090404961595,-0.0783399130991375
"16","9346","1",2.5,"b",0.574058310577388,0.564989431588943,-0.00906887898844499
"17","13","0",0,"c",0.613729543627779,0.460454382100279,-0.1532751615275
"18","13","1",2.5,"c",0.539698892395015,0.412652043490595,-0.12704684890442
"19","9242","0",0,"c",0.737243709307029,0.591387984992729,-0.1458557243143
"20","9242","1",2.5,"c",0.741522417113865,0.52413916081227,-0.217383256301595
"21","9316","0",0,"c",0.619697415118076,0.515966590996216,-0.10373082412186
"22","9316","1",2.5,"c",0.611797338530712,0.575594777319882,-0.03620256121083
"23","9346","0",0,"c",0.662266655712936,0.583926742613799,-0.0783399130991376
"24","9346","1",2.5,"c",0.604894648229591,0.595825769241146,-0.00906887898844499
